date,ticker,open,high,low,close,adj_close,volume,downloaded_at,source,1d_no_calendar_simple_return,7d_no_calendar_rolling_return,30d_no_calendar_rolling_return,1d_no_calendar_log_return,cumulative_returns_no_calendar,1d_no_calendar_lagged_returns,5d_no_calendar_lagged_returns,1d_business_calendar_simple_return,7d_business_calendar_rolling_return,30d_business_calendar_rolling_return,1d_business_calendar_log_return,cumulative_returns_business_calendar,1d_business_calendar_lagged_returns,5d_business_calendar_lagged_returns,market_calendar,1d_exchange_calendar_simple_return,7d_exchange_calendar_rolling_return,30d_exchange_calendar_rolling_return,1d_exchange_calendar_log_return,cumulative_returns_exchange_calendar,1d_exchange_calendar_lagged_returns,5d_exchange_calendar_lagged_returns,no_calendar_20d_adj_close_ma,business_calendar_20d_adj_close_ma,exchange_calendar_20d_adj_close_ma,no_calendar_50d_adj_close_ma,business_calendar_50d_adj_close_ma,exchange_calendar_50d_adj_close_ma
2021-05-13,SPY,407.0700073242188,412.3500061035156,407.0199890136719,410.2799987792969,383.1945190429688,106394000,2026-05-17 16:56:22.201389,yfinance,0.01201251858456609,-0.012848400571417229,0.0351978299666198,0.011940940931616083,0.6198472380396027,-0.021245198115548924,0.007985428396864114,0.01201251858456609,-0.012848400571417229,0.024138025534208518,0.011940940931616083,0.6296868444286698,-0.021245198115548924,0.007985428396864114,NYSE,0.01201251858456609,-0.012848400571417229,0.0351978299666198,0.011940940931616083,0.6198472380396027,-0.021245198115548924,0.007985428396864114,388.45330200195315,388.45330200195315,388.45330200195315,377.60526672363284,,377.60526672363284
2021-05-14,SPY,413.2099914550781,417.489990234375,413.1799926757813,416.5799865722656,389.07861328125,82201600,2026-05-17 16:56:22.201389,yfinance,0.015355371608593904,0.001996396395263389,0.039864045494777844,0.015238671027534638,0.6447205943288552,0.01201251858456609,0.007278216607311094,0.015355371608593904,0.001996396395263389,,0.015238671027534638,0.6547112915305089,0.01201251858456609,0.007278216607311094,NYSE,0.015355371608593904,0.001996396395263389,0.039864045494777844,0.015238671027534638,0.6447205943288552,0.01201251858456609,0.007278216607311094,388.42154998779296,388.42154998779296,388.42154998779296,378.37318237304686,,378.37318237304686
2021-05-17,SPY,415.3900146484375,416.3900146484375,413.3599853515625,415.5199890136719,388.0885925292969,65129200,2026-05-17 16:56:22.201389,yfinance,-0.0025445262683648773,-0.008470993639873914,0.022541544486460285,-0.0025477690774400197,0.6405355595724647,0.015355371608593904,-0.009902484573158232,-0.0025445262683648773,-0.008470993639873914,0.022541544486460285,-0.0025477690774400197,0.6505008351826496,0.015355371608593904,-0.009902484573158232,NYSE,-0.0025445262683648773,-0.008470993639873914,0.022541544486460285,-0.0025477690774400197,0.6405355595724647,0.015355371608593904,-0.009902484573158232,388.43602600097654,388.43602600097654,388.43602600097654,378.99227111816407,,378.99227111816407
2021-05-18,SPY,415.7999877929688,416.05999755859375,411.7699890136719,411.9400024414063,384.7449645996094,59810200,2026-05-17 16:56:22.201389,yfinance,-0.008615630539140606,-0.02411633393268875,0.014330766019349683,-0.008652959647790266,0.6264013113048661,-0.0025445262683648773,-0.008924747575434155,-0.008615630539140606,-0.02411633393268875,0.014330766019349683,-0.008652959647790266,0.6362807297821729,-0.0025445262683648773,-0.008924747575434155,NYSE,-0.008615630539140606,-0.02411633393268875,0.014330766019349683,-0.008652959647790266,0.6264013113048661,-0.0025445262683648773,-0.008924747575434155,388.42528839111327,388.42528839111327,388.42528839111327,379.5800476074219,,379.5800476074219
2021-05-19,SPY,406.9200134277344,411.0499877929688,405.3299865722656,410.8599853515625,383.73626708984375,106467100,2026-05-17 16:56:22.201389,yfinance,-0.002621730243605236,-0.016940102181620786,0.010502036109041546,-0.0026251729969705884,0.622137325798779,-0.008615630539140606,-0.021245198115548924,-0.002621730243605236,-0.016940102181620786,0.010502036109041546,-0.0026251729969705884,0.6319908431058745,-0.008615630539140606,-0.021245198115548924,NYSE,-0.002621730243605236,-0.016940102181620786,0.010502036109041546,-0.0026251729969705884,0.622137325798779,-0.008615630539140606,-0.021245198115548924,388.1819869995117,388.1819869995117,388.1819869995117,380.0461791992187,,380.0461791992187
2021-05-20,SPY,411.7999877929688,416.6300048828125,411.6700134277344,415.2799987792969,387.8644409179688,78022200,2026-05-17 16:56:22.201389,yfinance,0.01075784121066281,0.0025833030023205694,0.01654752662914616,0.010700387322812099,0.6395880215716114,-0.002621730243605236,0.01201251858456609,0.01075784121066281,0.0025833030023205694,0.01654752662914616,0.010700387322812099,0.6495475414532632,-0.002621730243605236,0.01201251858456609,NYSE,0.01075784121066281,0.0025833030023205694,0.01654752662914616,0.010700387322812099,0.6395880215716114,-0.002621730243605236,0.01201251858456609,388.32255401611326,388.32255401611326,388.32255401611326,380.5500030517578,,380.5500030517578
2021-05-21,SPY,416.8699951171875,418.2000122070313,414.4500122070313,414.9400024414063,387.546875,76578700,2026-05-17 16:56:22.201389,yfinance,-0.0008187549165816765,0.02350704289261807,0.008383892933153891,-0.0008190902794542188,0.6382456008177813,0.01075784121066281,0.015355371608593904,-0.0008187549165816765,0.02350704289261807,0.008383892933153891,-0.0008190902794542188,0.6481969662935632,0.01075784121066281,0.015355371608593904,NYSE,-0.0008187549165816765,0.02350704289261807,0.008383892933153891,-0.0008190902794542188,0.6382456008177813,0.01075784121066281,0.015355371608593904,388.2384948730469,388.2384948730469,388.2384948730469,380.97393127441404,,380.97393127441404
2021-05-24,SPY,417.3399963378906,420.3200073242188,417.0799865722656,419.1700134277344,391.4977111816406,51376700,2026-05-17 16:56:22.201389,yfinance,0.010194473072813848,0.0216683478652282,0.018292776823757073,0.010142859915104148,0.654946651481974,-0.0008187549165816765,-0.0025445262683648773,0.010194473072813848,0.0216683478652282,0.018292776823757073,0.010142859915104148,0.6649994658851364,-0.0008187549165816765,-0.0025445262683648773,NYSE,0.010194473072813848,0.0216683478652282,0.018292776823757073,0.010142859915104148,0.654946651481974,-0.0008187549165816765,-0.0025445262683648773,388.3113510131836,388.3113510131836,388.3113510131836,381.4670092773438,,381.4670092773438
2021-05-25,SPY,420.3299865722656,420.7099914550781,417.6199951171875,418.239990234375,390.6289978027344,57451400,2026-05-17 16:56:22.201389,yfinance,-0.0022189488063270035,0.003984759039848962,0.013030926647102259,-0.002221414321138871,0.651274409585133,0.010194473072813848,-0.008615630539140606,-0.0022189488063270035,0.003984759039848962,0.013030926647102259,-0.002221414321138871,0.6613049173077754,0.010194473072813848,-0.008615630539140606,NYSE,-0.0022189488063270035,0.003984759039848962,0.013030926647102259,-0.002221414321138871,0.651274409585133,0.010194473072813848,-0.008615630539140606,388.3449768066406,388.3449768066406,388.3449768066406,381.8989599609375,,381.8989599609375
2021-05-26,SPY,418.8699951171875,419.6099853515625,417.760009765625,419.0700073242188,391.4041748046875,43088600,2026-05-17 16:56:22.201389,yfinance,0.0019844328155704805,0.00854336442558612,0.018519611188622997,0.0019824664297813056,0.6545512527110255,-0.0022189488063270035,-0.002621730243605236,0.0019844328155704805,0.00854336442558612,0.018519611188622997,0.0019824664297813056,0.6646016653023497,-0.0022189488063270035,-0.002621730243605236,NYSE,0.0019844328155704805,0.00854336442558612,0.018519611188622997,0.0019824664297813056,0.6545512527110255,-0.0022189488063270035,-0.002621730243605236,388.42296447753904,388.42296447753904,388.42296447753904,382.3557208251953,,382.3557208251953
